Data,Estado,Casos
22/05/22,AMAZONAS,3
23/05/22,AMAZONAS,35
24/05/22,AMAZONAS,34
25/05/22,AMAZONAS,10
26/05/22,AMAZONAS,10
27/05/22,AMAZONAS,12
28/05/22,AMAZONAS,13
29/05/22,AMAZONAS,2
30/05/22,AMAZONAS,4
31/05/22,AMAZONAS,12
01/06/22,AMAZONAS,12
02/06/22,AMAZONAS,17
03/06/22,AMAZONAS,19
04/06/22,AMAZONAS,21
05/06/22,AMAZONAS,10
06/06/22,AMAZONAS,4
07/06/22,AMAZONAS,28
08/06/22,AMAZONAS,35
09/06/22,AMAZONAS,32
10/06/22,AMAZONAS,17
11/06/22,AMAZONAS,32
12/06/22,AMAZONAS,8
13/06/22,AMAZONAS,9
14/06/22,AMAZONAS,50
15/06/22,AMAZONAS,65
16/06/22,AMAZONAS,62
17/06/22,AMAZONAS,13
18/06/22,AMAZONAS,20
19/06/22,AMAZONAS,28
20/06/22,AMAZONAS,13
21/06/22,AMAZONAS,68
22/06/22,AMAZONAS,132
23/06/22,AMAZONAS,215
24/06/22,AMAZONAS,150
25/06/22,AMAZONAS,143
26/06/22,AMAZONAS,67
27/06/22,AMAZONAS,88
28/06/22,AMAZONAS,289
29/06/22,AMAZONAS,222
30/06/22,AMAZONAS,447
01/07/22,AMAZONAS,445
02/07/22,AMAZONAS,503
03/07/22,AMAZONAS,309
04/07/22,AMAZONAS,115
05/07/22,AMAZONAS,836
06/07/22,AMAZONAS,736
07/07/22,AMAZONAS,892
08/07/22,AMAZONAS,749
09/07/22,AMAZONAS,634
10/07/22,AMAZONAS,319
11/07/22,AMAZONAS,306
12/07/22,AMAZONAS,946
13/07/22,AMAZONAS,1013
14/07/22,AMAZONAS,1228
15/07/22,AMAZONAS,1018
16/07/22,AMAZONAS,897
17/07/22,AMAZONAS,316
18/07/22,AMAZONAS,279
19/07/22,AMAZONAS,1276
20/07/22,AMAZONAS,1047
21/07/22,AMAZONAS,1081
22/07/22,AMAZONAS,986
23/07/22,AMAZONAS,723
